=== BAGIAN 1: PARAMETER KAPASITAS BATERAI ===
Parameter,Nilai,Satuan
Kapasitas Nominal (Q_Ah),20.7986,Ah
Kapasitas Nominal (Q_As),74874.8000,Ampere-sekon


=== BAGIAN 2: TABEL TRUE OCV (LOOK-UP TABLE) ===
SOC,OCV (V)
0.0,2.655
0.09884901195061613,3.194
0.21243195307366414,3.223
0.3260015385683833,3.253
0.43951102373562256,3.282
0.553234198956124,3.288
0.6670174745041055,3.289
0.780667193768798,3.297
0.8943770133609705,3.326
1.0,3.537


=== BAGIAN 3: PARAMETER DINAMIS ECM (R0, R1, C1) ===
SOC (%),R0 (Ohm),R1 (Ohm),C1 (Farad),Tau (s)
0.0,0.006050000000000022,0.009500011664387999,11281.154902919523,71.78382562406746
9.090241309492642,0.0028000000000000026,0.002506330367563646,20591.86262038584,51.61001061017174
46,15.0,3.2664999999999997,3.268748729005802,2.248729005802197,93.22164200702846,92.86682100073061
47,15.0,3.266,3.2677528652338963,1.7528652338962836,93.20160856453512,92.84326342273384
48,15.0,3.263,3.267009943671329,4.009943671329008,93.18157512204178,92.81512154472412
49,15.0,3.2623333333333333,3.2651541617535873,2.8208284202539957,93.16154167954845,92.78935129804364
50,15.0,3.2616666666666667,3.263904968804911,2.2383021382443857,93.1415082370551,92.76473971193684
51,15.0,3.261,3.2629546924628694,1.9546924628692786,93.12147479456176,92.74068553161416
52,15.0,3.2605,3.2621517177856827,1.651717785682738,93.10144135206842,92.71723544438557
53,15.0,3.26,3.261503822591887,1.503822591887083,93.08140790957509,92.69407392426385
54,15.0,3.26,3.2609323485720267,0.9323485720269531,93.06137446708175,92.67209037710829
55,15.0,3.2595,3.260645995893366,1.1459958933657255,93.0413410245884,92.64964680637485
56,15.0,3.259,3.260252694766497,1.2526947664972532,93.02130758209508,92.62696447286545
57,15.0,3.2583333333333333,3.2598066838772324,1.4733505438990768,93.00127413960173,92.60379866247361
58,15.0,3.2576666666666667,3.259252211175702,1.5855445090351417,92.98124069710839,92.5803761455272
59,15.0,3.257,3.2586442821172104,1.6442821172102384,92.96120725461505,92.55680921795982
60,15.0,3.256,3.2580100052196443,2.0100052196445617,92.94117381212172,92.53243331099338
61,15.0,3.255333333333333,3.2571977886004806,1.8644552671474024,92.92114036962838,92.50835043846536
62,15.0,3.2546666666666666,3.256462820319769,1.7961536531023725,92.90110692713503,92.48439528474476
63,15.0,3.254,3.2557659228428792,1.7659228428792417,92.88107348464169,92.46048587127753
64,15.0,3.253,3.255087787111784,2.087787111783701,92.86104004214836,92.43584606614355
65,15.0,3.253,3.2542539606042173,1.2539606042172302,92.84100659965502,92.41303157324371
66,15.0,3.253,3.253838191049353,0.8381910493526767,92.82097315716167,92.39112959486532
67,15.0,3.253,3.2536284729362204,0.628472936220259,92.80093971466835,92.36968797231327
68,15.0,3.252,3.253520312838622,1.5203128386223064,92.780906272175,92.34623080220538
69,15.0,3.252,3.2529674447467927,0.9674447467928893,92.76087282968166,92.32400768042778
70,15.0,3.252,3.252690124443371,0.6901244433712428,92.74083938718832,92.30240440037798
71,15.0,3.252,3.252548622322779,0.5486223227793019,92.72080594469499,92.28111678577
72,15.0,3.251,3.2524740644720334,1.474064472033465,92.70077250220164,92.25769692506968
73,15.0,3.25,3.251937783425333,1.9377834253329063,92.6807390597083,92.2331897971189
74,15.0,3.249,3.2511739001501225,2.173900150122421,92.66070561721497,92.2081128478317
75,15.0,3.248666666666667,3.25029782098889,1.6311543222231606,92.64067217472163,92.1842764974084
76,15.0,3.2483333333333335,3.249696221482489,1.3628881491554168,92.62063873222829,92.16105008761637
77,15.0,3.248,3.24922992451806,1.2299245180598106,92.60060528973494,92.13812123320211
78,15.0,3.2475,3.2488303229484363,1.3303229484362689,92.58057184724161,92.11494097382487
79,15.0,3.247,3.2483811555073823,1.3811555073823811,92.56053840474827,92.09162486110239
80,15.0,3.247,3.2479075501955683,0.9075501955684295,92.54050496225493,92.06942414176918
81,15.0,3.2466666666666666,3.247669206009082,1.0025393424153428,92.5204715197616,92.04698529753433
82,15.0,3.2463333333333333,3.2473819680411737,1.0486347078404457,92.50043807726826,92.02442407057956
83,15.0,3.246,3.24707062224113,1.0706222411300814,92.48040463477491,92.00179782099698
84,15.0,3.2455,3.2467473878246853,1.2473878246854753,92.46037119228157,91.97872949140216
85,15.0,3.245,3.246335859018649,1.335859018648744,92.44033774978824,91.95543092408539
86,15.0,3.245,3.2458807966614702,0.8807966614701179,92.4203043072949,91.93323474297615
87,15.0,3.245,3.245651546098911,0.6515460989109378,92.40027086480156,91.91159418348433
88,15.0,3.245,3.2455336232653034,0.5336232653032624,92.38023742230823,91.89023854648595
89,15.0,3.245,3.2454705854087216,0.4705854087214689,92.36020397981488,91.86903387268393
90,15.0,3.245,3.2454346048680582,0.4346048680581305,92.34017053732154,91.84791393193193
91,15.0,3.245,3.245411961759577,0.41196175957702863,92.3201370948282,91.82684604026548
92,15.0,3.245,3.245395891698418,0.39589169841791616,92.30010365233487,91.80581412851775
93,15.0,3.245,3.245383059589877,0.383059589876833,92.28007020984153,91.78481035619637
94,15.0,3.245,3.2453718211165166,0.37182111651645755,92.26003676734818,91.76383095794856
95,15.0,3.245,3.245361365593643,0.36136559364274845,92.24000332485485,91.7428741864146
96,15.0,3.245,3.2453512933626243,0.3512933626241832,92.21996988236151,91.72193929338799
97,15.0,3.245,3.245341407425885,0.34140742588473216,92.19993643986817,91.70102602522024
98,15.0,3.245,3.245331610711696,0.3316107116959621,92.17990299737482,91.68013437291255
99,15.0,3.245,3.2453218554194514,0.32185541945128904,92.1598695548815,91.65926444834294
100,15.0,3.245,3.2453121180434583,0.31211804345820937,92.13983611238815,91.6384164229621
101,15.0,3.245,3.245302387057791,0.3023870577907317,92.11980266989481,91.61759049742648
102,15.0,3.245,3.2452926568439184,0.29265684391832636,92.09976922740147,91.5967868865527
103,15.0,3.245,3.2452829246964883,0.28292469648816265,92.07973578490814,91.5760058118598
104,15.0,3.245,3.2452731893468796,0.2731893468794766,92.0597023424148,91.55524749786895
105,15.0,3.245,3.2452634502351736,0.2634502351734902,92.03966889992145,91.53451217026426
106,15.0,3.245,3.2452537071511376,0.2537071511374833,92.01963545742812,91.51380005497502
107,15.0,3.245,3.2452439600571967,0.24396005719662384,91.99960201493478,91.49311137771433
108,15.0,3.245,3.245234209001126,0.23420900112602894,91.97956857244144,91.47244636374387
109,15.0,3.245,3.245224454072996,0.22445407299587217,91.9595351299481,91.45180523775048
110,15.0,3.245,3.2452146953839347,0.2146953839345933,91.93950168745477,91.43118822377826
111,15.0,3.244666666666667,3.245204933055653,0.5382663889861306,91.91946824496142,91.40968592115689
112,15.0,3.2443333333333335,3.2450303998704535,0.6970665371199836,91.89943480246808,91.38774278176818
113,15.0,3.244,3.244774599367125,0.7745993671246509,91.87940135997475,91.36557889749668
114,15.0,3.244,3.2444787148702887,0.47871487028849913,91.8593679174814,91.34422365419235
115,15.0,3.244,3.244327814508778,0.327814508777724,91.83933447498806,91.32328155001808
116,15.0,3.2435,3.244248420994054,0.7484209940540332,91.81930103249472,91.30116557148841
117,15.0,3.243,3.2439571700383043,0.9571700383044224,91.79926759000139,91.27845848426163
118,15.0,3.243,3.2435614217828608,0.5614217828608936,91.77923414750805,91.25685081121333
119,15.0,3.243,3.2433612425236467,0.36124252364677645,91.7592007050147,91.23580058065073
120,15.0,3.243,3.243257524424317,0.257524424317257,91.73916726252138,91.2150395439629
121,15.0,3.243,3.2432013841939735,0.2013841939736416,91.71913382002803,91.19443498728455
122,15.0,3.243,3.24316871068464,0.16871068463997219,91.69910037753469,91.17392130782308
123,15.0,3.243,3.2431476112072866,0.14761120728667976,91.67906693504135,91.15346613254124
124,15.0,3.2424999999999997,3.2431322197137185,0.6322197137187402,91.65903349254802,91.13161975869485
125,15.0,3.242,3.242872559033613,0.8725590336129407,91.63900005005468,91.10907499777878
126,15.0,3.242,3.242492402025557,0.4924020255572259,91.61896660756133,91.08761916389233
127,15.0,3.242,3.242299875754369,0.2998757543690722,91.59893316506799,91.06671631616061
128,15.0,3.242,3.242199905269524,0.19990526952406995,91.57889972257466,91.04610120683562
129,15.0,3.242,3.242145591539615,0.14559153961490878,91.55886628008132,91.0256426130613
130,15.0,3.242,3.2421137997236293,0.11379972362934865,91.53883283758798,91.00527567119573
131,15.0,3.242,3.242093117506917,0.09311750691720633,91.51879939509465,90.98496837308167
132,15.0,3.242,3.242077915204149,0.07791520414901498,91.4987659526013,90.96470497725213
133,15.0,3.242,3.2420654156944875,0.06541569448748064,91.47873251010796,90.9444777954534
134,15.0,3.242,3.2420542490431,0.05424904309991874,91.45869906761462,90.92428312605614
135,15.0,3.242,3.24204373949725,0.04373949724989501,91.43866562512129,90.90411924067105
136,15.0,3.2415000000000003,3.242033553757351,0.5335537573505356,91.41863218262795,90.88248911892222
137,15.0,3.241,3.2417765033401547,0.7765033401545551,91.3985987401346,90.86012396041546
138,15.0,3.241,3.2413976574727617,0.39765747276154784,91.37856529764127,90.83889230394765
139,15.0,3.241,3.241205732839936,0.20573283993607916,91.35853185514793,90.8182368310132
140,15.0,3.241,3.2411060290157256,0.10602901572553947,91.33849841265459,90.79788172377825
141,15.0,3.241,3.2410518244769944,0.05182447699425552,91.31846497016124,90.77769053000829
142,15.0,3.241,3.2410200683790396,0.02006837903945069,91.29843152766792,90.75759579618344
143,15.0,3.241,3.2409993880852457,0.0006119147544225711,91.27839808517457,90.73756422875799
144,15.0,3.241,3.240984172618482,0.015827381518285222,91.25836464268123,90.71757944553794
145,15.0,3.241,3.240971653661247,0.02834633875314907,91.2383312001879,90.69763343608857
146,15.0,3.241,3.2409604654124378,0.03953458756233985,91.21829775769456,90.67772233396838
147,15.0,3.241,3.2409499340560988,0.05006594390133401,91.19826431520121,90.65784432368615
148,15.0,3.241,3.2409397271981284,0.060272801871708026,91.17823087270787,90.63799860450695
149,15.0,3.241,3.2409296809023886,0.07031909761145982,91.15819743021454,90.61818487746952
150,15.0,3.241,3.2409197143512047,0.08028564879536404,91.1381639877212,90.59840309142609
151,15.0,3.241,3.2409097877387407,0.09021226125938142,91.11813054522786,90.57865331731313
152,15.0,3.241,3.240899881495266,0.10011850473423678,91.09809710273453,90.5589356859036
153,15.0,3.241,3.240889986036103,0.11001396389698215,91.07806366024118,90.539250356986
154,15.0,3.241,3.2408800967035574,0.11990329644273601,91.05803021774784,90.51959750410104
155,15.0,3.241,3.240870211271114,0.12978872888602666,91.0379967752545,90.49997730698045
156,15.0,3.241,3.2408603287119226,0.13967128807745866,91.01796333276117,90.48038994779856
157,15.0,3.2405,3.240850448591123,0.3504485911229871,90.99792989026783,90.45923380559128
158,15.0,3.24,3.2405936466347587,0.5936466347584712,90.97789644777448,90.43729270927514
159,15.0,3.2405,3.240214988926469,0.28501107353084976,90.95786300528115,90.41817795351285
160,15.0,3.241,3.2402700212690885,0.729978730911629,90.93782956278781,90.40050461618485
161,15.0,3.240666666666667,3.240539085628763,0.127581037904001,90.91779612029447,90.38088488917192
162,15.0,3.2403333333333335,3.240502273708384,0.1689403750506635,90.89776267780113,90.3603019804404
163,15.0,3.24,3.2403145060369862,0.31450603698601753,90.8777292353078,90.33924258051323
164,15.0,3.24,3.2400522374392318,0.05223743923155055,90.85769579281445,90.31903822512808
165,15.0,3.24,3.239917793425071,0.0822065749290779,90.83766235032111,90.29927454643322
166,15.0,3.24,3.239846436170355,0.1535638296452646,90.81762890782777,90.2797465096691
167,15.0,3.24,3.23980621611453,0.1937838854702001,90.79759546533444,90.26035270382785
168,15.0,3.24,3.239781365277495,0.21863472250505112,90.7775620228411,90.24104301441173
169,15.0,3.24,3.2397641016667404,0.23589833325976528,90.75752858034775,90.22179271952115
170,15.0,3.24,3.239750584612309,0.24941538769107652,90.73749513785442,90.20258966647994
171,15.0,3.24,3.2397389186293455,0.2610813706547255,90.71746169536108,90.18342792389387
172,15.0,3.24,3.239728168264285,0.2718317357151001,90.69742825286774,90.16430463928187
173,15.0,3.24,3.2397178718855995,0.28212811440075924,90.6773948103744,90.14521848355146
174,15.0,3.24,3.2397078017187924,0.29219828120785607,90.65736136788107,90.12616888099312
175,15.0,3.24,3.2396978454119565,0.30215458804372375,90.63732792538772,90.10715562811727
176,15.0,3.24,3.239687947581867,0.3120524181330353,90.61729448289438,90.08817870497245
177,15.0,3.24,3.239678080963416,0.32191903658418397,90.59726104040105,90.06923818174315
178,15.0,3.24,3.2396682321699046,0.3317678300955862,90.57722759790771,90.0503341725115
179,15.0,3.24,3.239658394664712,0.3416053352882642,90.55719415541436,90.03146681236562
180,15.0,3.24,3.239648565292251,0.3514347077491209,90.53716071292102,90.01263624606436
181,15.0,3.24,3.2396387425656896,0.3612574343105912,90.5171272704277,89.99384262242276
182,15.0,3.24,3.2396289258217834,0.37107417821680144,90.49709382793435,89.97508609152929
183,15.0,3.24,3.2396191148037023,0.3808851962978643,90.477060385441,89.95636680336483
184,15.0,3.24,3.239609309455097,0.3906905449033715,90.45702694294768,89.9376849071157
185,15.0,3.24,3.2395995098184542,0.40049018154597604,90.43699350045434,89.91904055083016
186,15.0,3.24,3.239589715984912,0.410284015088358,90.41696005796099,89.90043388124525
187,15.0,3.24,3.2395799280694835,0.4200719305167411,90.39692661546765,89.88186504369764
188,15.0,3.24,3.239570146198823,0.42985380117732674,90.37689317297432,89.8633341820766
189,15.0,3.24,3.23956037050518,0.4396294948203483,90.35685973048098,89.84484143879756
190,15.0,3.24,3.239550601123412,0.4493988765883472,90.33682628798763,89.82638695478605
191,15.0,3.2395,3.2395408381895043,0.040838189504288636,90.31679284549429,89.80620966335479
192,15.0,3.239,3.2392843089808556,0.28430898085574086,90.29675940300096,89.78517221424428
193,15.0,3.239,3.23890595183549,0.09404816450997444,90.27672596050762,89.76547174286877
194,15.0,3.239,3.2387142099873145,0.28579001268536075,90.25669251801428,89.74645268991665
195,15.0,3.239,3.238614603138758,0.3853968612417269,90.23665907552095,89.72779062186007
196,15.0,3.239,3.238560487229758,0.43951277024190105,90.2166256330276,89.70932500930945
197,15.0,3.239,3.2385288342734246,0.47116572657524003,90.19659219053426,89.69097645660865
198,15.0,3.239,3.2385082753357968,0.4917246642031081,90.17655874804092,89.6727057290607
199,15.0,3.239,3.2384931975314664,0.5068024685335182,90.15652530554759,89.65449347072222
200,15.0,3.239,3.238480829759117,0.5191702408828824,90.13649186305425,89.63633016460356
201,15.0,3.239,3.238469803934534,0.5301960654660043,90.1164584205609,89.61821116302625
202,15.0,3.239,3.2384594446651276,0.5405553348722947,90.09642497806757,89.60013422771969
203,15.0,3.239,3.2384494185549504,0.5505814450494917,90.07639153557423,89.5820983122168
204,15.0,3.239,3.238439561060936,0.5604389390638786,90.05635809308089,89.56410295916697
205,15.0,3.239,3.2384297910080453,0.5702089919545905,90.03632465058755,89.54614800201996
206,15.0,3.239,3.2384200683830295,0.5799316169703417,90.01629120809422,89.52823341736601
207,15.0,3.239,3.238410373495809,0.589626504190921,89.99625776560087,89.5103592518467
208,15.0,3.239,3.2384006966906345,0.5993033093654176,89.97622432310753,89.4925255859764
209,15.0,3.239,3.238391033266019,0.6089667339810312,89.9561908806142,89.47473251623347
210,15.0,3.239,3.238381380966455,0.6186190335450981,89.93615743812086,89.45698014619458
211,15.0,3.239,3.2383848892402742,0.6151107597256456,89.91612399562752,89.43921663665152
212,15.0,3.239,3.2386783235039083,0.3216764960916052,89.89609055313417,89.42033253254206
213,15.0,3.239,3.238841872858527,0.15812714147278584,89.87605711064084,89.40085401956779
214,15.0,3.239,3.2389323366983276,0.06766330167229384,89.8560236681475,89.3810557612462
215,15.0,3.239,3.238982051629768,0.017948370231835042,89.83599022565416,89.36108439890691
216,15.0,3.239,3.2390091628153073,0.009162815307384164,89.81595678316083,89.34101933562985
217,15.0,3.239,3.239023770901257,0.023770901257158528,89.79592334066749,89.32090392646091
218,15.0,3.239,3.2390314736888346,0.031473688834715574,89.77588989817414,89.30076195774753
219,15.0,3.239,3.2390353659227515,0.03536592275166228,89.7558564556808,89.28060651599486
220,15.0,3.239,3.2390371562141276,0.037156214127698206,89.73582301318747,89.26044481336339
221,15.0,3.239,3.239037787171958,0.037787171958125754,89.71578957069413,89.24028082965062
222,15.0,3.239,3.239037778590901,0.03777859090092761,89.69575612820078,89.22011676384997
223,15.0,3.239,3.2390374170350698,0.03741703506987548,89.67572268570746,89.19995383320189
224,15.0,3.2385,3.2390368604634934,0.5368604634932161,89.65568924321411,89.17806081456654
225,15.0,3.238,3.2388192140234544,0.8192140234544176,89.63565580072077,89.1551977592784
226,15.0,3.239,3.238481707365122,0.5182926348776817,89.61562235822743,89.13694905119004
227,15.0,3.2385,3.238729756577557,0.22975657755663903,89.5955889157341,89.11611739896479
228,15.0,3.238,3.2386488579285877,0.6488579285877094,89.57555547324075,89.09383142282451
229,15.0,3.238,3.2383868266996174,0.38682669961742633,89.55552203074741,89.07245924833484
230,15.0,3.238,3.2382419998806387,0.24199988063866584,89.53548858825407,89.05158757103153
231,15.0,3.238,3.238161885118021,0.16188511802095462,89.51545514576074,89.03099231665243
232,15.0,3.238,3.2381174230538425,0.11742305384254692,89.4954217032674,89.01055056683902
233,15.0,3.238,3.2380925909241256,0.09259092412561287,89.47538826077405,88.99019461328854
234,15.0,3.238,3.2380785653057034,0.07856530570338194,89.45535481828072,88.96988711912743
235,15.0,3.238,3.2380704886973812,0.07048869738124353,89.43532137578738,88.9496074964965
236,15.0,3.238,3.238065686894354,0.06568689435404451,89.41528793329404,88.92934439817962
237,15.0,3.238,3.2380626875729077,0.06268757290772697,89.3952544908007,88.90909157396432
238,15.0,3.238,3.238060680096319,0.06068009631921001,89.37522104830737,88.88884558401952
239,15.0,3.238,3.2380592181456804,0.059218145680439704,89.35518760581402,88.86860453756367
240,15.0,3.238,3.2380580559984544,0.058055998454431545,89.33515416332068,88.84836739739211
241,15.0,3.238,3.2380570583806176,0.05705838061764723,89.31512072082735,88.82813359654087
242,15.0,3.238,3.2380561508282426,0.05615082824261819,89.29508727833401,88.80790282705127
243,15.0,3.238,3.238055292355502,0.05529235550216782,89.27505383584067,88.78767492359269
244,15.0,3.238,3.2380544604058885,0.05446040588852341,89.25502039334732,88.76744979935532
245,15.0,3.238,3.2380536425671105,0.05364256711049009,89.234986950854,88.74722741074062
246,15.0,3.238,3.2380528320101196,0.05283201011963001,89.21495350836065,88.72700773791496
247,15.0,3.238,3.2380520249785167,0.052024978516751474,89.19492006586731,88.70679077410085
248,15.0,3.238,3.238051219406723,0.05121940672303538,89.17488662337398,88.68657651968032
249,15.0,3.238,3.238050414159497,0.05041415949680328,89.15485318088064,88.66636497894818
250,15.0,3.238,3.2380496086134394,0.04960861343938916,89.13481973838729,88.64615615832466
251,15.0,3.238,3.238048802426725,0.048802426725114145,89.11478629589395,88.62595006537144
252,15.0,3.238,3.2380479954124075,0.04799541240751992,89.09475285340062,88.6057467082501
253,15.0,3.238,3.2380471874687156,0.047187468715570446,89.07471941090728,88.58554609542405
254,15.0,3.238,3.2380463785407185,0.046378540718539085,89.05468596841393,88.56534823549455
255,15.0,3.238,3.2380455685992313,0.045568599231327056,89.03465252592059,88.54515313711056
256,15.0,3.238,3.238044757629215,0.04475762921485327,89.01461908342726,88.52496080891906
